nombre_archivo;carpeta;fecha_captura;dispositivo;sha256
2026-05-23_DialogoIngeniero_ENTR-02_Fotografia.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);1f1905c853b28378e5557a4e35df32a0e45dbc03a5d89e0e5b2039d968092c69
2026-05-23_EntrevistaAdministradorGeneral_ENTR-01_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);1c400b5ea249a1ca5c383a8cbb90b16b5b1a9780d9b2b3f0efd09e7d440bf439
2026-05-23_EntrevistaAdministrador_ENTR-02_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);521843afab317ee877c8a295c0d24f1fcb9cc4ced5792193aa613dd72c72d04b
2026-05-23_EntrevistaJefePolinizacion_ENTR-03_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);3a904add0eadf8352c383e8441e8ad37970d0edc62d4cd3b54d0088c9d87f113
2026-05-23_Fruta_de_palma_polinizada.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);b07cc6c83f3f89d0bb405f6e64ebc16e5e61bb042bfd322f453bb8cfa8de4296
2026-06-27_BombaRiego_Fotografia.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);ce3d179d8c787ebd67f3a936587c8a0a0a147752d818f69723babf5accfccbf9
2026-06-27_Deteccion_Plaga.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);2fc7ed651ee7ac01555eb23bc7c8c4ece1b3a03e221726503ec906e37056acff
2026-06-27_Evidencia_Trabajo_de_Campo_01.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);590f1fc9f18be90d667c691929dc3edaeeaf51c54246a7a0a5f869c64bcc2423
2026-06-27_Mayon_encontrado_en_la_palma.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);d947dd3e0dad9e7fd64d20becba5d62180a55276cd8716ae5c91fae606123c0b
2026-06-27_Prueba_de_humedad.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);b0008a27cc23f6bbb8501d339498e1bfc17aa13f0b41acc2c4c9932129726936
2026-06-27_Vista_general_del_cultivo_de_palma_africana.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);272c613ee9fbdcbde2a6c228e6ca3e05e5ed5e34252cad02316a5a82aa2ea480
2026-07-28_EntrevistaAsistenteAdministracion_ENTR-07_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);b10f30e29d240eb50683170f3ef7fba9559d76b4184554d4e096bdf307380046
2026-07-28_EntrevistaTecnicoExtractora_ENTR-04_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);f0aba37f46cc829e3a649c8a60622a35ac1c99aeeed89e03f60400c182622021
2026-07-28_EntrevistaTecnicoExtractora_ENTR-08_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);74ef9b11d7f9885a8349b127df5f949c9cec15e79334163cd0d62b2f8808b8a1
2026-07-28_EntrevistaTrabajadorAgricola_ENTR-05_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);97fdc579aed09ad55d1bb2dd72d7e3908309ef298b90eb090d72f51456f9d9d1
2026-07-28_EntrevistaTrabajadorAgricola_ENTR-06_Foto.png;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);01238e1090fcb5702f681313ae777e6ba7840d9aaf56345bfd631332cf7e4e10
2026-07-28_Ingenieros_De_Calidad_Fruta_Foto.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);8f0058d84a65da2aad64891e10c9f421fa56fe88208ea6378b4142da6da74367
2026-07-28_Pesaje_fruta_primerlote.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);73c3a7cf4c3e72a831313679e6722840b69d90e0a1a4107decf405c8762240f2
2026-08-21_Pre_vivero_palmas_africanas.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);36d307dba56cf8a3d68773e7463efe7b4d6501c39d2d7ce130bac307be0bc803
2026-08-21_Vivero_palmas_africanas.jpeg;02_Evidencias/Fotos_Entorno;No disponible (sin metadato embebido);No disponible (sin metadato embebido);e05eab6e6dd17d74ac7f3cd047e1c0ee994c0303318ba2f74ce496acbc48acc7
Presupuesto_Semanal.png;02_Evidencias/Documentos_Organizacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);52d3d4d9953618e40d5cb92b34a0e426e47d60ff5fdac713c39f0ac3dba33745
Presupuesto_finca_01.png;02_Evidencias/Documentos_Organizacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);2c920cd9e933ced46e09d466864355ca53f220f2539931422c258be49b5ba010
Presupuesto_finca_02.png;02_Evidencias/Documentos_Organizacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);690962861452c4358d986584f18ad21ce81bdfa24c81e50eda1e6b3672ce1977
presupuesto_vs_resumenSemanal.png;02_Evidencias/Documentos_Organizacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);4094396177b6add01eb01552873b2caf9442fb128df2153067346292d1bd36e4
2026-05-23_AdministradorGeneral_ENTR-01_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);123442b19b4540c6a5d48b9cafa19d34463208ee09f06dcd58eb7d90af098eb7
2026-05-23_Administrador_ENTR-02_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);1dd818f62bd3efb19ba8d986f992251034cbdccb553ca70b4e93df485b34a032
2026-05-23_JefePolinizacion_ENTR-03_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);7e4fd51f5cbf4a6ba13ef9aac1c8cd49b8745860c69ba8c8d65f30948277e9ac
2026-07-28_AsistenteAdministracion_ENTR-07_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);ca7922bce8aac03f8c4e9d4450c7c6804c97fd4708375d018e984566d02ceea9
2026-07-28_TecnicoEstractora_ENTR-04_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);3ebbaff5ee8088213d28f425cc314613394fb0362f400e1ad2ebe46456031334
2026-07-28_TecnicoEstractora_ENTR-08_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);739e0359f5bc117e40d3cae466a5f16785e586cb52e6fcd5a2230a3fd94f5c05
2026-07-28_TrabajadorI_ENTR-05_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);30bd8a4d5e3b66c9b788ba9f284011aad54adaaef8f291fdb8a58825265a4643
2026-07-28_Trabajador_ENTR-06_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);58ddac95c69297c0c652089485b5e842897a126fc585ae13d4f8afaf6f5c4fc9
2026-08-31_AsistenteTecnico_ENTR-09_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);57457fa91e9eee98bba8e754c338066adea50300946438befab75f9eb5f41907
2026-08-31_EstudianteCarreraAfin_ENTR-10_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);bc72d440ce23b6c88f7b21e419c48be83575e3cf995128f4dc67acf84759d6ff
2026-08-31_EstudianteCarreraAfin_ENTR-11_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);0d833cf9af20160d7968c63e6dd757274185a3bdee4aa155e0b0cd421e6638a5
2026-08-31_IngenieraBiotecnologica_ENTR-12_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);124d5fe0764c91878a2b78f2d3faa55006c5c45be257bdce8e86bccac12f30b0
2026-09-01_EstudianteCarreraAfin_ENTR-15_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);e2fa42867128ce269a517ec64fa118650ea84db8a560c5487e1966dc1dbfb026
2026-09-01_IngenieroAgronomo_ENTR-13_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);8df82d477b105c72177d03e4e570a3a96137a45dfd12d54f24c5e42fd83149bc
2026-09-01_IngenieroAgropecuario_ENTR-14_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);ea50b357427cd651330bd2c348582faf193ddcedeffd741b865adc80e71f5ace
2026-09-01_IngenieroSistemas_ENTR-16_Consentimiento.png;02_Evidencias/Consentimientos;No disponible (sin metadato embebido);No disponible (sin metadato embebido);9a1f8a24d2a55d2e247376c01f65358b7a2979b457e18741a9958258336ffc9f
2026-07-28_equipo_visita_palmicultora.png;10_Autoria/fotos_equipo;No disponible (sin metadato embebido);No disponible (sin metadato embebido);0d31f3e981b1a9171e550b40aedc1fd8bf8a2b86f34c5741d08b7e477c32dcfe
2026-07-28_observacion_proceso_trabajo.png;10_Autoria/fotos_equipo;2026:07:28 11:19:32;BRP-NX3;d430d05942de1021507b626d681cc6910a99c7bb2529fce5a89403c0006d6439
2026-07-28_planificacion_entrevistas_organizacion.png;10_Autoria/fotos_equipo;2026:07:28 13:59:23;FC7703;7f4e24a79b3bc19680f3569da64510a17abeae3e0b46390b9bde3a7f398a83e5
cuestionario_p01_labor_principal.png;02_Evidencias/Cuestionario/Fotos_Aplicacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);86ebc6168363d40bed14108c2447bb1ab2b55d5f6b0184faeb2bd924247e69e6
cuestionario_p02_anios_experiencia.png;02_Evidencias/Cuestionario/Fotos_Aplicacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);e083e69a587bbc963cf0bb5f06070842512f21f16175e61960b8806d187e6370
cuestionario_p03_registro_actual.png;02_Evidencias/Cuestionario/Fotos_Aplicacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);9dae8a23cb6085c897d34fabc135889217060f40d0b97bad600cbb042205a985
cuestionario_p04_mayor_dificultad.png;02_Evidencias/Cuestionario/Fotos_Aplicacion;No disponible (sin metadato embebido);No disponible (sin metadato embebido);654631ce4b5c459c9fbb404b8966d82c71d4f11b4eafa578c095d092f1fb1674
